PostDate,ContentType,Likes,Comments,Views,ContentTheme,Caption
18-06-2025,Reel,0,0,57,"Scoliosis, Testimonial","𝐒𝐜𝐨𝐥𝐢𝐨𝐬𝐢𝐬 𝐀𝐰𝐚𝐫𝐞𝐧𝐞𝐬𝐬 𝐌𝐨𝐧𝐭𝐡 !
Pre & Post analysis of Scoliosis in a patient."
17-06-2025,Image,3,0,,Scoliosis,"𝐌𝐲𝐭𝐡𝐬 & 𝐅𝐚𝐜𝐭𝐬 𝐚𝐛𝐨𝐮𝐭 𝐒𝐜𝐨𝐥𝐢𝐨𝐬𝐢𝐬 !
𝐒𝐞𝐫𝐢𝐞𝐬 - 𝟐"
16-06-2025,Reel,1,0,284,"Scoliosis, Testimonial","𝐒𝐜𝐨𝐥𝐢𝐨𝐬𝐢𝐬 𝐀𝐰𝐚𝐫𝐞𝐧𝐞𝐬𝐬 𝐌𝐨𝐧𝐭𝐡 !
ओम राज सिंह - स्कोलियोसिसले पिड़ित हुंदा विद्यालयमा साथिहरु सित अपहेलित हुनु परेको घटना बिर्सिएका छैनन्। ग्राण्डी अस्पतालमा अप्रेसन पश्चात पूर्ण रूपमा स्वस्थ्य र सामान्य जीवन व्यतीत गरिरहेका उनी आफ्नो अनुभव साझा गर्दै....
प्रायः बालबालिकामा देखिने यस रोगको मानसिक प्रभाव पनि उतिकै हुन्छ।"
16-06-2025,Image,16,0,,Training,"𝐒𝐭𝐫𝐞𝐧𝐠𝐭𝐡𝐞𝐧𝐢𝐧𝐠 𝐎𝐮𝐫 𝐒𝐤𝐢𝐥𝐥𝐬!
As part of our continuous training program, Chief Financial Officer (CFO) Mr. Dipendra Pokharel conducted an insightful session on Conflict Resolution, focusing on handling complaints and suggestions. We are committed to equipping our staff with the tools they need to provide the best service possible!"
15-06-2025,Image,2,0,,Scoliosis,"𝐒𝐜𝐨𝐥𝐢𝐨𝐬𝐢𝐬 𝐀𝐰𝐚𝐫𝐞𝐧𝐞𝐬𝐬 𝐌𝐨𝐧𝐭𝐡 !
Scoliosis can't stop you chase your Dream !
It is treatable.
Contact us for further details : 01-5159266, 9801202550"
15-06-2025,Image,0,0,,Scoliosis,"𝐒𝐜𝐨𝐥𝐢𝐨𝐬𝐢𝐬 𝐜𝐚𝐧'𝐭 𝐬𝐭𝐨𝐩 𝐲𝐨𝐮 𝐜𝐡𝐚𝐬𝐞 𝐲𝐨𝐮𝐫 𝐃𝐫𝐞𝐚𝐦 !
It is treatable. Contact us for further details."
13-06-2025,Reel,1,0,182,"Scoliosis, Testimonial","स्कोलियोसिसको उपचार ग्राण्डी अस्पतालमा गरे पश्चात आफुलाई पुर्ण रुपमा सामान्य र स्वस्थ्य अनुभव गर्दै आफ्नो सफलताको कथा साझा गर्दै, अस्मी भुषाल।"
11-06-2025,Reel,10,0,816,"Scoliosis, Testimonial","यीनी हुन्, आरोही चापागाईं। कुनै बेला स्कोलियोसिसले पिड़ित छंदा जीवन अति नै कष्टकर थियो। ग्राण्डी अस्पतालमा अप्रेसन पश्चात सम्पूर्ण क्रियाकलाप आफै गर्न पाउंदा, जीवन नै परिवर्तन भएको अनुभव गर्दै, आफ्नो खुशी यसरी व्यक्त गर्छिन्......"
09-06-2025,Reel,3,0,306,"Scoliosis, Testimonial",स्कोलियोसिसको उपचारमा पहिलो चरणमा brace लगाएर control गर्ने प्रयास गरिन्छ। र अन्तिम उपाय भनेको शल्यक्रिया नै हो। विरामीको counselling तथा motivation यस अवधिमा निकै नै महत्वपूर्ण हुन्छ। सुनौं विरामीको अनुभव वहांकै मुखबाट....
11-06-2025,Post,29,1,,Visit,Educational field trip of students from Triyog High School to Grande International Hospital. We believe inspiring young minds through such excursions will empower them in becoming future healthcare heroes.
